"","date","PM","TASMAX","TASAVG","TASMIN","DPMAX","DPAVG","DPMIN","RHMAX","RHAVG","RHMIN","sfcWindMAX","sfcWindAVG","sfcWindMIN","PSLMAX","PSLAVG","PSLMIN","PRCPAVG"
"65",2018-02-04,11.6026086956522,8.8896,5.556,1.6668,7.7784,4.4448,-2.2224,100,73,46,28.96812,15.28873,1.60934,1018.625711,1010.498378,1002.371045,0.508
"66",2018-02-05,23.589,7.2228,3.3336,-1.1112,0,-3.3336,-10.0008,86,51,16,19.31208,9.65604,0,1024.382572,1021.165502,1017.948433,0
"67",2018-02-06,36.6933333333333,7.7784,2.2224,-2.778,2.2224,-1.1112,-5.556,100,71,42,28.96812,14.48406,0,1023.705294,1021.334822,1018.96435,0
"68",2018-02-07,28.9045454545455,5.556,2.778,0,3.8892,1.1112,-1.6668,100,79.5,59,37.01482,21.72609,6.43736,1023.366655,1018.287072,1013.207489,1.016
"69",2018-02-08,44.7273913043478,10.0008,5.556,1.6668,7.2228,3.8892,1.1112,100,85.5,71,22.53076,11.26538,0,1015.239322,1012.699531,1010.159739,0.508
"70",2018-02-09,31.3917391304348,10.0008,5.0004,-1.1112,5.0004,1.1112,-2.2224,100,73.5,47,25.74944,12.87472,0,1017.609794,1015.408642,1013.207489,0
"71",2018-02-10,51.8834782608696,6.6672,2.2224,-1.6668,3.8892,0.5556,-2.2224,100,83,66,20.92142,10.46071,0,1016.593878,1010.837017,1005.080156,3.048
"72",2018-02-11,11.8120833333333,1.1112,0,-1.1112,1.1112,-0.5556,-2.2224,100,89,78,14.48406,7.24203,0,1011.175656,1007.111989,1003.048323,0.254
"73",2018-02-12,31.4254166666667,5.0004,2.2224,-1.1112,2.2224,-0.5556,-3.8892,100,76.5,53,12.87472,6.43736,0,1014.562045,1011.344975,1008.127906,0
"74",2018-02-13,48.48375,3.8892,0,-3.3336,3.8892,0,-2.778,100,87.5,75,33.79614,16.89807,0,1016.255239,1011.175656,1006.096073,0.254
"75",2018-02-14,15.07375,3.8892,1.1112,-2.2224,6.1116,0,-3.8892,100,78.5,57,35.40548,17.70274,0,1016.593878,1009.8211,1003.048323,2.032
"76",2018-02-15,23.25,3.8892,0,-3.8892,-0.5556,-3.8892,-6.1116,100,78,56,19.31208,9.65604,0,1025.059849,1019.641628,1014.223406,0
"77",2018-02-16,51.9091666666667,8.8896,3.3336,-2.778,2.2224,-1.6668,-3.8892,100,74.5,49,12.87472,6.43736,0,1027.430321,1024.721211,1022.0121,0
"78",2018-02-17,69.21,9.4452,3.3336,-3.3336,2.778,0,-2.778,100,69.5,39,28.96812,14.48406,0,1028.784877,1024.89053,1020.996183,0
"79",2018-02-18,62.4333333333333,8.8896,4.4448,-0.5556,5.0004,2.2224,-1.1112,100,78,56,32.1868,16.0934,0,1023.366655,1020.318905,1017.271155,1.016
"80",2018-02-19,15.2225,3.8892,2.2224,0,5.0004,2.2224,0,100,92.5,85,27.35878,13.67939,0,1021.673461,1019.472308,1017.271155,3.048
"81",2018-02-20,10.4295833333333,5.556,2.778,0,2.778,1.1112,-1.6668,100,83.5,67,33.79614,20.11675,6.43736,1018.625711,1015.408642,1012.191572,0.254
"82",2018-02-21,11.3420833333333,5.556,2.778,0,5.0004,2.2224,-0.5556,100,86.5,73,35.40548,20.92142,6.43736,1014.223406,1012.191572,1010.159739,0
"83",2018-02-22,10.6454166666667,6.6672,4.4448,1.6668,5.0004,2.2224,0,100,78,56,27.35878,15.28873,3.21868,1015.9166,1013.03817,1010.159739,0
"84",2018-02-23,11.4245833333333,7.7784,4.4448,1.1112,3.8892,1.6668,-0.5556,100,82,64,33.79614,18.50741,3.21868,1016.255239,1014.731364,1013.207489,0
"85",2018-02-24,19.7775,5.0004,2.2224,0,2.2224,1.1112,-2.2224,100,82.5,65,25.74944,12.87472,0,1015.577961,1011.852934,1008.127906,0.508
